Gen,Family,follicle.count,TV.follicles.mm3,TV.follicles.microns
G0,1,1,0.042758175,42.758175
G0,1,2,0.043993336,43.993336
G0,1,3,0.04210277,42.10277
G0,1,4,0.041823944,41.823944
G0,1,5,0.04447466,44.47466
G0,1,6,0.02845591,28.45591
G0,1,7,0.04228934,42.28934
G0,1,8,0.059184082,59.184082
G0,1,9,0.044959481,44.959481
G0,1,10,0.039103095,39.103095
G0,2,1,0.061913409,61.91340912
G0,2,2,0.063125779,63.12577859
G0,2,3,0.055858646,55.85864573
G0,2,4,0.062275475,62.27547492
G0,2,5,0.029325471,29.32547126
G0,2,6,0.033060052,33.06005152
G0,2,7,0.055298195,55.29819529
G0,2,8,0.044668168,44.66816763
G0,5,1,0.030362136,30.36213604
G0,5,2,0.029398724,29.39872386
G0,5,3,0.041823944,41.82394422
G0,5,4,0.028961033,28.96103298
G0,5,5,0.027533472,27.53347236
G0,5,6,0.035745936,35.74593556
G0,5,7,0.063983787,63.98378722
G0,5,8,0.030512196,30.51219574
G0,5,9,0.023344639,23.34463938
G0,5,10,0.043135729,43.13572886
G0,6,1,0.083401822,83.40182248
G0,6,2,0.039727069,39.72706856
G0,6,3,0.028098727,28.0987272
G0,6,4,0.06215463,62.15462992
G0,6,5,0.065848484,65.84848403
G0,6,6,0.063737854,63.73785365
G0,6,7,0.048759761,48.75976062
G0,6,8,0.029545595,29.54559482
G0,6,9,0.041269992,41.26999195
G0,6,10,0.029914911,29.9149105
G0,7,1,0.051373216,51.37321596
G0,7,2,0.041361976,41.36197555
G0,7,3,0.054409293,54.40929303
G0,7,4,0.021688036,21.68803619
G0,7,5,0.048452237,48.45223676
G0,7,6,0.038573489,38.57348891
G0,7,7,0.022292126,22.29212552
G0,7,8,0.017657521,17.65752069
G0,7,9,0.022231218,22.2312181
G0,7,10,0.013408017,13.40801716
G0,8,1,0.047841074,47.84107354
G0,8,2,0.022721595,22.72159514
G0,8,3,0.042195986,42.19598604
G0,8,4,0.031346369,31.34636928
G0,8,5,0.036249392,36.2493921
G0,8,6,0.024820641,24.82064088
G0,8,7,0.016987707,16.98770699
G0,8,8,0.023031713,23.03171275
G0,8,9,0.010891127,10.89112705
G0,8,10,0.014615386,14.61538631
G0,9,1,0.027744546,27.74454576
G0,9,2,0.023470599,23.47059939
G0,9,3,0.015941846,15.94184635
G0,9,4,0.028671666,28.67166594
G0,9,5,0.019049509,19.04950897
G0,9,6,0.023597012,23.59701169
G0,9,7,0.03219561,32.19560959
G0,9,8,0.03467115,34.67115014
G0,9,9,0.026018218,26.01821809
G0,11,1,0.067877052,67.87705167
G0,11,2,0.060835637,60.83563723
G0,11,3,0.024689892,24.68989151
G0,11,4,0.046236478,46.23647752
G0,11,5,0.048350017,48.35001689
G0,11,6,0.027184067,27.184067
G0,11,7,0.041638746,41.63874622
G0,11,8,0.038485689,38.48568889
G0,11,9,0.037356385,37.35638512
G0,11,10,0.042852356,42.85235637
G0,11,11,0.021988698,21.98869787
G0,11,12,0.011196468,11.19646822
G0,12,1,0.071526529,71.52652874
G0,12,2,0.029325471,29.32547126
G0,12,3,0.042570228,42.57022764
G0,12,4,0.050107404,50.1074038
G0,12,5,0.060006072,60.00607187
G0,12,6,0.043420348,43.42034786
G0,12,7,0.026906681,26.90668072
G0,12,8,0.0243004,24.30040002
G0,12,9,0.037961685,37.96168524
G0,12,10,0.032980834,32.98083418
G0,13,1,0.025215657,25.21565699
G0,13,2,0.023597012,23.59701169
G0,13,3,0.027603711,27.60371077
G0,13,4,0.028599627,28.59962661
G0,13,5,0.027815143,27.81514254
G0,13,6,0.023344639,23.34463938
G0,13,7,0.025548021,25.5480208
G0,13,8,0.029989141,29.98914102
G0,13,9,0.018451993,18.45199257
G0,13,10,0.02449463,24.49462965
G0,13,11,0.0243004,24.30040002
G0,13,12,0.017762106,17.76210593
G0,14,1,0.039191831,39.19183087
G0,14,2,0.032901743,32.90174348
G0,14,3,0.020570524,20.57052401
G0,14,4,0.032822779,32.82277933
G0,14,5,0.035495965,35.49596489
G0,14,6,0.031346369,31.34636928
G0,14,7,0.028027651,28.0276512
G0,14,8,0.039014493,39.01449254
G0,14,9,0.032351646,32.3516462
G0,14,10,0.035495965,35.49596489
G0,14,11,0.034263578,34.26357812
G0,16,1,0.036672533,36.67253251
G0,16,2,0.029840803,29.84080258
G0,16,3,0.028241239,28.2412395
G0,16,4,0.01888529,18.88528997
G0,16,5,0.012146625,12.14662506
G0,16,6,0.028027651,28.0276512
G0,16,7,0.015893144,15.89314421
G0,16,8,0.022292126,22.29212552
G0,16,9,0.022598332,22.59833178
G0,16,10,0.025149532,25.14953205
G0,16,11,0.051906867,51.906867
G0,16,12,0.044862236,44.86223615
G0,17,1,0.040357645,40.35764527
G0,17,2,0.032273565,32.27356503
G0,17,3,0.048146009,48.14600865
G0,17,4,0.037961685,37.96168524
G0,17,5,0.022783395,22.78339455
G0,17,6,0.018451993,18.45199257
G0,17,7,0.014986553,14.98655321
G0,17,8,0.025281898,25.28189774
G0,17,9,0.035662482,35.66248205
G0,17,10,0.034507736,34.50773571
G0,17,11,0.036081052,36.08105154
G0,17,12,0.007267289,7.267289345
G0,18,1,0.043041133,43.041133
G0,18,2,0.035579159,35.57915853
G0,18,3,0.022109736,22.10973631
G0,18,4,0.027045137,27.04513678
G0,18,5,0.030587411,30.58741066
G0,18,6,0.049690134,49.69013403
G0,18,7,0.036502883,36.50288343
G0,18,8,0.06215463,62.15462992
G0,18,9,0.034426221,34.42622141
G0,18,10,0.074076019,74.07601913
G0,18,11,0.049378707,49.37870652
G0,18,12,0.037874816,37.87481643
G0,19,1,0.037615005,37.61500534
G0,19,2,0.019547872,19.54787234
G0,19,3,0.040539028,40.53902768
G0,19,4,0.035329967,35.32996689
G0,19,5,0.042570228,42.57022764
G0,19,6,0.038223088,38.22308843
G0,19,7,0.048350017,48.35001689
G0,19,8,0.036842706,36.8427064
G0,19,9,0.055521923,55.52192339
G0,19,10,0.021747948,21.74794786
G0,19,11,0.03266523,32.66523026
G0,19,12,0.034917238,34.91723783
G0,20,1,0.03096534,30.96533982
G0,20,2,0.048452237,48.45223676
G0,20,3,0.064477551,64.47755061
G0,20,4,0.029989141,29.98914102
G0,20,5,0.026494149,26.49414941
G0,20,6,0.077942496,77.9424962
G0,20,7,0.034999525,34.99952508
G0,20,8,0.080785108,80.78510849
G0,20,9,0.039906558,39.90655805
G0,20,10,0.036165157,36.16515652
G0,20,11,0.045841014,45.84101444
G0,20,12,0.026221484,26.2214845
G0,21,1,0.051266927,51.26692658
G0,21,2,0.042195986,42.19598604
G0,21,3,0.024559602,24.55960211
G0,21,4,0.037615005,37.61500534
G0,21,5,0.018291231,18.29123072
G0,21,6,0.02180797,21.80796976
G0,21,7,0.046634208,46.63420849
G0,21,8,0.034344836,34.34483558
G0,21,9,0.023344639,23.34463938
G0,22,1,0.036587642,36.58764242
G0,22,2,0.027885859,27.88585897
G0,22,3,0.031041297,31.04129728
G0,22,4,0.032273565,32.27356503
G0,22,5,0.01623615,16.23615
G0,22,6,0.019659787,19.65978737
G0,22,7,0.040720953,40.72095274
G0,22,8,0.033859213,33.85921278
G0,22,9,0.035412901,35.41290105
G0,22,10,0.032508186,32.50818615
G0,22,11,0.027533472,27.53347236
G0,23,1,0.039727069,39.72706856
G0,23,2,0.027885859,27.88585897
G0,23,3,0.02568178,25.6817798
G0,23,4,0.027184067,27.184067
G0,23,5,0.036418255,36.41825545
G0,23,6,0.027815143,27.81514254
G0,23,7,0.035829519,35.82951917
G0,23,8,0.038310489,38.31048875
G0,23,9,0.02656261,26.56260971
G0,23,10,0.023470599,23.47059939
G0,23,11,0.019380797,19.38079742
G0,23,12,0.028312676,28.31267599
G0,24,1,0.042009691,42.00969056
G0,24,2,0.032980834,32.98083418
G0,24,3,0.040267157,40.26715731
G0,24,4,0.035247162,35.24716231
G0,24,5,0.041269992,41.26999195
G0,24,6,0.027956695,27.95669515
G0,24,7,0.025414727,25.41472705
G0,24,8,0.025215657,25.21565699
G0,24,9,0.026425807,26.42580684
G0,24,10,0.021868102,21.86810199
G0,27,1,0.041178145,41.17814482
G0,27,2,0.025281898,25.28189774
G0,27,3,0.039280701,39.2807012
G0,27,4,0.028816107,28.81610731
G0,27,5,0.038749489,38.74948934
G0,27,6,0.024689892,24.68989151
G0,27,7,0.040267157,40.26715731
G0,27,8,0.055298195,55.29819529
G0,27,9,0.033378189,33.37818938
G0,27,10,0.027744546,27.74454576
G0,27,11,0.038485689,38.48568889
G0,31,1,0.025083523,25.08352281
G0,31,2,0.022536868,22.53686763
G0,31,3,0.031117379,31.11737886
G0,31,4,0.027674069,27.67406854
G0,31,5,0.03013797,30.13797023
G0,31,6,0.023407563,23.4075629
G0,31,7,0.027744546,27.74454576
G0,31,8,0.038398022,38.39802221
G0,31,9,0.029179331,29.17933131
G0,31,10,0.023031713,23.03171275
G0,31,11,0.027603711,27.60371077
G0,31,12,0.025614842,25.6148421
G0,32,1,0.035164487,35.16448722
G0,32,2,0.025017629,25.01762918
G0,32,3,0.037874816,37.87481643
G0,32,4,0.021508962,21.50896157
G0,32,5,0.032273565,32.27356503
G0,32,6,0.029840803,29.84080258
G0,32,7,0.029179331,29.17933131
G0,32,8,0.030889506,30.88950637
G0,32,9,0.035913233,35.91323296
G0,32,10,0.022292126,22.29212552
G0,32,11,0.02180797,21.80796976
G0,33,1,0.042570228,42.57022764
G0,33,2,0.019159515,19.15951548
G0,33,3,0.039014493,39.01449254
G0,33,4,0.048657109,48.65710853
G0,33,5,0.045841014,45.84101444
G0,33,6,0.036842706,36.8427064
G0,33,7,0.033458041,33.45804147
G0,33,8,0.033618128,33.61812752
G0,33,9,0.041638746,41.63874622
G0,33,10,0.043420348,43.42034786
G0,34,1,0.040448269,40.44826869
G0,34,2,0.02845591,28.45591017
G0,34,3,0.018667803,18.66780317
G0,34,4,0.02725371,27.25371018
G0,34,5,0.033458041,33.45804147
G0,34,6,0.035164487,35.16448722
G0,34,7,0.023031713,23.03171275
G0,34,8,0.034426221,34.42622141
G0,34,9,0.017657521,17.65752069
G0,34,10,0.027393353,27.39335317
G0,34,11,0.020686305,20.6863053
G0,35,1,0.056196727,56.19672673
G0,35,2,0.054852544,54.85254375
G0,35,3,0.036672533,36.67253251
G0,35,4,0.051054788,51.05478784
G0,35,5,0.036418255,36.41825545
G0,35,6,0.037270443,37.27044255
G0,35,7,0.054741506,54.74150625
G0,35,8,0.015796038,15.79603769
G0,35,9,0.024624689,24.62468936
G0,38,1,0.034917238,34.91723783
G0,38,2,0.037356385,37.35638512
G0,38,3,0.038926024,38.92602433
G0,38,4,0.019715905,19.71590471
G0,38,5,0.022109736,22.10973631
G0,38,6,0.014295686,14.29568619
G0,38,7,0.057333511,57.33351109
G0,38,8,0.04228934,42.28933995
G0,38,9,0.040176805,40.17680471
G0,38,10,0.02683763,26.83763024
G0,39,1,0.037098953,37.09895306
G0,39,2,0.027184067,27.184067
G0,39,3,0.018184577,18.18457658
G0,39,4,0.023533749,23.53374895
G0,39,5,0.027744546,27.74454576
G0,39,6,0.029619213,29.61921337
G0,39,7,0.022907329,22.90732933
G0,39,8,0.025481316,25.48131582
G0,39,9,0.026221484,26.2214845
G0,39,10,0.033298464,33.29846444
G0,39,11,0.022049162,22.04916172
G0,39,12,0.020977657,20.97765746
G0,40,1,0.027956695,27.95669515
G0,40,2,0.025816005,25.81600486
G0,40,3,0.038926024,38.92602433
G0,40,4,0.034999525,34.99952508
G0,40,5,0.021271733,21.27173252
G0,40,6,0.025348254,25.34825439
G0,40,7,0.036249392,36.2493921
G0,40,8,0.038048687,38.04868678
G0,40,9,0.053420723,53.42072327
G0,40,10,0.032351646,32.3516462
G0,40,11,0.045939668,45.93966795
G0,42,1,0.025083523,25.08352281
G0,42,2,0.058369634,58.36963404
G0,42,3,0.035662482,35.66248205
G0,42,4,0.051906867,51.906867
G0,42,5,0.032508186,32.50818615
G0,42,6,0.02449463,24.49462965
G0,42,7,0.028961033,28.96103298
G0,42,8,0.030889506,30.88950637
G0,42,9,0.02845591,28.45591017
G0,42,10,0.021568543,21.56854314
G0,43,1,0.055971188,55.9711883
G0,43,2,0.036672533,36.67253251
G0,43,3,0.038398022,38.39802221
G0,43,4,0.034263578,34.26357812
G0,43,5,0.033698362,33.69836169
G0,43,6,0.036842706,36.8427064
G0,43,7,0.034182449,34.18244892
G0,43,8,0.036165157,36.16515652
G0,43,9,0.041546353,41.54635258
G0,43,10,0.037615005,37.61500534
G0,44,1,0.043420348,43.42034786
G0,44,2,0.040448269,40.44826869
G0,44,3,0.047841074,47.84107354
G0,44,4,0.047335714,47.33571429
G0,44,5,0.043135729,43.13572886
G0,44,6,0.042195986,42.19598604
G0,44,7,0.045252058,45.2520579
G0,44,8,0.042852356,42.85235637
G0,44,9,0.04958618,49.5861798
G0,44,10,0.050527003,50.52700306
G0,44,11,0.048146009,48.14600865
G0,45,1,0.037874816,37.87481643
G0,45,2,0.038223088,38.22308843
G0,45,3,0.042852356,42.85235637
G0,45,4,0.034344836,34.34483558
G0,45,5,0.036249392,36.2493921
G0,45,6,0.040539028,40.53902768
G0,45,7,0.030889506,30.88950637
G0,45,8,0.042009691,42.00969056
G0,45,9,0.033458041,33.45804147
G0,45,10,0.042758175,42.7581754
G0,45,11,0.038135821,38.13582114
Inb.1,1,1,0.014341069,14.34106928
Inb.1,1,2,0.015796038,15.79603769
Inb.1,1,3,0.022170422,22.17042173
Inb.1,1,4,0.016936896,16.93689634
Inb.1,1,5,0.024043028,24.04302812
Inb.1,1,6,0.020455176,20.45517555
Inb.1,1,7,0.0243004,24.30040002
Inb.1,1,8,0.023470599,23.47059939
Inb.1,1,9,0.024624689,24.62468936
Inb.1,1,10,0.011984672,11.98467221
Inb.1,1,11,0.016584056,16.58405579
Inb.1,1,12,0.00880885,8.808850473
Inb.1,2,1,0.030362136,30.36213604
Inb.1,2,2,0.03211778,32.11777979
Inb.1,2,3,0.032980834,32.98083418
Inb.1,2,4,0.043135729,43.13572886
Inb.1,2,5,0.027885859,27.88585897
Inb.1,2,6,0.010517323,10.51732293
Inb.1,2,7,0.030738211,30.73821109
Inb.1,2,8,0.022049162,22.04916172
Inb.1,2,9,0.037961685,37.96168524
Inb.1,2,10,0.022353144,22.35314407
Inb.1,2,11,0.012724941,12.7249409
Inb.1,2,12,0.021212699,21.21269907
Inb.1,5,1,0.034101448,34.10144789
Inb.1,5,2,0.03157648,31.57648038
Inb.1,5,3,0.043135729,43.13572886
Inb.1,5,4,0.041731277,41.73127673
Inb.1,5,5,0.026289474,26.28947448
Inb.1,5,6,0.038926024,38.92602433
Inb.1,5,7,0.023597012,23.59701169
Inb.1,5,8,0.038310489,38.31048875
Inb.1,5,9,0.022721595,22.72159514
Inb.1,5,10,0.045841014,45.84101444
Inb.1,6,1,0.016936896,16.93689634
Inb.1,6,2,0.025414727,25.41472705
Inb.1,6,3,0.035829519,35.82951917
Inb.1,6,4,0.035913233,35.91323296
Inb.1,6,5,0.043993336,43.99333631
Inb.1,6,6,0.018451993,18.45199257
Inb.1,6,7,0.015893144,15.89314421
Inb.1,6,8,0.010703137,10.7031371
Inb.1,6,9,0.005333017,5.333016565
Inb.1,6,10,0.017867103,17.86710333
Inb.1,6,11,0.01194441,11.94441018
Inb.1,7,1,0.018451993,18.45199257
Inb.1,7,2,0.022109736,22.10973631
Inb.1,7,3,0.019049509,19.04950897
Inb.1,7,4,0.022907329,22.90732933
Inb.1,7,5,0.02378748,23.78747992
Inb.1,7,6,0.01517447,15.1744702
Inb.1,7,7,0.016534054,16.53405365
Inb.1,7,8,0.018344714,18.34471381
Inb.1,7,9,0.017397855,17.39785545
Inb.1,7,10,0.021928345,21.92834466
Inb.1,7,11,0.021688036,21.68803619
Inb.1,7,12,0.020282963,20.28296263
Inb.1,8,1,0.017919757,17.91975684
Inb.1,8,2,0.02449463,24.49462965
Inb.1,8,3,0.024365029,24.36502871
Inb.1,8,4,0.014432123,14.43212342
Inb.1,8,5,0.03211778,32.11777979
Inb.1,8,6,0.026357582,26.3575819
Inb.1,8,7,0.041361976,41.36197555
Inb.1,8,8,0.043230463,43.23046322
Inb.1,8,9,0.042382831,42.38283146
Inb.1,9,1,0.056536169,56.53616913
Inb.1,9,2,0.031269915,31.26991476
Inb.1,9,3,0.042664133,42.66413252
Inb.1,9,4,0.039996505,39.99650518
Inb.1,9,5,0.042382831,42.38283146
Inb.1,9,6,0.032586645,32.58664514
Inb.1,9,7,0.026425807,26.42580684
Inb.1,9,8,0.071129405,71.12940518
Inb.1,9,9,0.036842706,36.8427064
Inb.1,9,10,0.043041133,43.041133
Inb.1,9,11,0.02925234,29.25234044
Inb.1,11,1,0.032901743,32.90174348
Inb.1,11,2,0.031885043,31.88504316
Inb.1,11,3,0.032980834,32.98083418
Inb.1,11,4,0.031269915,31.26991476
Inb.1,11,5,0.031499652,31.49965199
Inb.1,11,6,0.040267157,40.26715731
Inb.1,11,7,0.032743942,32.74394162
Inb.1,11,8,0.063003836,63.00383571
Inb.1,11,9,0.026425807,26.42580684
Inb.1,11,10,0.029472098,29.47209835
Inb.1,11,11,0.043610788,43.61078771
Inb.1,11,12,0.054852544,54.85254375
Inb.1,12,1,0.027045137,27.04513678
Inb.1,12,2,0.015747633,15.74763311
Inb.1,12,3,0.022170422,22.17042173
Inb.1,12,4,0.017294706,17.29470638
Inb.1,12,5,0.008075173,8.075173387
Inb.1,12,6,0.017501414,17.50141385
Inb.1,12,7,0.021868102,21.86810199
Inb.1,12,8,0.023597012,23.59701169
Inb.1,12,9,0.018237852,18.23785167
Inb.1,12,10,0.02568178,25.6817798
Inb.1,12,11,0.012641224,12.64122445
Inb.1,13,1,0.03778808,37.78808024
Inb.1,13,2,0.026018218,26.01821809
Inb.1,13,3,0.042946676,42.94667553
Inb.1,13,4,0.037098953,37.09895306
Inb.1,13,5,0.037961685,37.96168524
Inb.1,13,6,0.035329967,35.32996689
Inb.1,13,7,0.044378116,44.3781155
Inb.1,13,8,0.052552111,52.55211077
Inb.1,13,9,0.021212699,21.21269907
Inb.1,13,10,0.041086434,41.08643406
Inb.1,13,11,0.03219561,32.19560959
Inb.1,14,1,0.021868102,21.86810199
Inb.1,14,2,0.036333758,36.33375838
Inb.1,14,3,0.034507736,34.50773571
Inb.1,14,4,0.01888529,18.88528997
Inb.1,14,5,0.035495965,35.49596489
Inb.1,14,6,0.023723877,23.72387707
Inb.1,14,7,0.019380797,19.38079742
Inb.1,14,8,0.012683037,12.68303663
Inb.1,14,9,0.016785072,16.78507248
Inb.1,14,10,0.047942575,47.94257508
Inb.1,16,1,0.026289474,26.28947448
Inb.1,16,2,0.05664962,56.6496196
Inb.1,16,3,0.045742502,45.74250226
Inb.1,16,4,0.027463353,27.46335319
Inb.1,16,5,0.019884897,19.88489726
Inb.1,16,6,0.040629922,40.62992232
Inb.1,16,7,0.025950697,25.95069679
Inb.1,16,8,0.059652865,59.65286503
Inb.1,16,9,0.027323472,27.32347221
Inb.1,16,10,0.062517635,62.51763463
Inb.1,16,11,0.052121358,52.12135792
Inb.1,16,12,0.057677511,57.67751125
Inb.1,17,1,0.021036254,21.03625424
Inb.1,17,2,0.035164487,35.16448722
Inb.1,17,3,0.03692799,36.92799041
Inb.1,17,4,0.038573489,38.57348891
Inb.1,17,5,0.020397663,20.39766337
Inb.1,17,6,0.026153612,26.15361184
Inb.1,17,7,0.027744546,27.74454576
Inb.1,17,8,0.037356385,37.35638512
Inb.1,17,9,0.040903421,40.90342126
Inb.1,17,10,0.026289474,26.28947448
Inb.1,17,11,0.022231218,22.2312181
Inb.1,17,12,0.020455176,20.45517555
Inb.1,18,1,0.050002868,50.00286822
Inb.1,18,2,0.047739715,47.73971537
Inb.1,18,3,0.036333758,36.33375838
Inb.1,18,4,0.034101448,34.10144789
Inb.1,18,5,0.049378707,49.37870652
Inb.1,18,6,0.046933999,46.93399892
Inb.1,18,7,0.058834112,58.83411172
Inb.1,18,8,0.039637526,39.63752599
Inb.1,18,9,0.019941442,19.94144196
Inb.1,18,10,0.023660388,23.66038769
Inb.1,18,11,0.030587411,30.58741066
Inb.1,18,12,0.059535438,59.53543816
Inb.1,19,1,0.03157648,31.57648038
Inb.1,19,2,0.042570228,42.57022764
Inb.1,19,3,0.047235071,47.23507141
Inb.1,19,4,0.029840803,29.84080258
Inb.1,19,5,0.015603013,15.6030129
Inb.1,19,6,0.052444201,52.44420093
Inb.1,19,7,0.043041133,43.041133
Inb.1,19,8,0.042758175,42.7581754
Inb.1,19,9,0.052228825,52.2288246
Inb.1,19,10,0.052876728,52.87672825
Inb.1,19,11,0.046335697,46.3356974
Inb.1,20,1,0.041916749,41.9167488
Inb.1,20,2,0.05664962,56.6496196
Inb.1,20,3,0.033378189,33.37818938
Inb.1,20,4,0.040448269,40.44826869
Inb.1,20,5,0.034426221,34.42622141
Inb.1,20,6,0.025883292,25.88329242
Inb.1,20,7,0.035412901,35.41290105
Inb.1,20,8,0.02091917,20.9191696
Inb.1,20,9,0.023281829,23.28182872
Inb.1,20,10,0.030362136,30.36213604
Inb.1,20,11,0.035495965,35.49596489
Inb.1,20,12,0.038573489,38.57348891
Inb.1,21,1,0.022049162,22.04916172
Inb.1,21,2,0.018830761,18.83076077
Inb.1,21,3,0.024171486,24.1714857
