Family,ID,Testes_vol_mm,Testes_vol
1,G0,0.516,516
2,G0,0.612,612
5,G0,0.42,420
6,G0,0.588,588
7,G0,0.396,396
8,G0,0.324,324
9,G0,0.312,312
11,G0,0.468,468
12,G0,0.504,504
13,G0,0.3,300
14,G0,0.396,396
16,G0,0.336,336
17,G0,0.348,348
18,G0,0.504,504
19,G0,0.444,444
20,G0,0.54,540
21,G0,0.396,396
22,G0,0.36,360
23,G0,0.36,360
24,G0,0.384,384
27,G0,0.432,432
31,G0,0.336,336
32,G0,0.348,348
33,G0,0.456,456
34,G0,0.336,336
35,G0,0.492,492
38,G0,0.396,396
39,G0,0.312,312
40,G0,0.42,420
42,G0,0.408,408
43,G0,0.468,468
44,G0,0.552,552
45,G0,0.456,456
1,Inb.1,0.228,228
2,Inb.1,0.324,324
5,Inb.1,0.42,420
6,Inb.1,0.264,264
7,Inb.1,0.24,240
8,Inb.1,0.36,360
9,Inb.1,0.492,492
11,Inb.1,0.456,456
12,Inb.1,0.228,228
13,Inb.1,0.444,444
14,Inb.1,0.324,324
16,Inb.1,0.504,504
17,Inb.1,0.348,348
18,Inb.1,0.492,492
19,Inb.1,0.504,504
20,Inb.1,0.42,420
21,Inb.1,0.228,228
22,Inb.1,0.492,492
23,Inb.1,0.48,480
24,Inb.1,0.384,384
27,Inb.1,0.528,528
31,Inb.1,0.504,504
32,Inb.1,0.432,432
33,Inb.1,0.492,492
34,Inb.1,0.252,252
35,Inb.1,0.564,564
38,Inb.1,0.18,180
39,Inb.1,0.408,408
40,Inb.1,0.312,312
42,Inb.1,0.408,408
43,Inb.1,0.372,372
44,Inb.1,0.432,432
45,Inb.1,0.432,432
1,Inb.2,0.324,324
2,Inb.2,0.348,348
5,Inb.2,0.336,336
6,Inb.2,0.288,288
7,Inb.2,0.204,204
8,Inb.2,0.468,468
9,Inb.2,0.396,396
11,Inb.2,0.228,228
12,Inb.2,0.288,288
13,Inb.2,0.204,204
14,Inb.2,0.36,360
16,Inb.2,0.348,348
17,Inb.2,0.252,252
18,Inb.2,0.372,372
19,Inb.2,0.3,300
20,Inb.2,0.42,420
21,Inb.2,0.468,468
22,Inb.2,0.384,384
23,Inb.2,0.336,336
24,Inb.2,0.312,312
27,Inb.2,0.432,432
31,Inb.2,0.564,564
32,Inb.2,0.612,612
33,Inb.2,0.48,480
34,Inb.2,0.588,588
35,Inb.2,0.552,552
38,Inb.2,0.36,360
39,Inb.2,0.396,396
40,Inb.2,0.492,492
42,Inb.2,0.36,360
43,Inb.2,0.396,396
44,Inb.2,0.408,408
45,Inb.2,0.348,348
1,Inb.3,0.216,216
2,Inb.3,0.324,324
5,Inb.3,0.264,264
6,Inb.3,0.372,372
7,Inb.3,0.288,288
8,Inb.3,0.348,348
9,Inb.3,0.36,360
11,Inb.3,0.252,252
12,Inb.3,0.384,384
13,Inb.3,0.336,336
14,Inb.3,0.264,264
16,Inb.3,0.288,288
17,Inb.3,0.204,204
18,Inb.3,0.42,420
19,Inb.3,0.384,384
20,Inb.3,0.408,408
21,Inb.3,0.408,408
22,Inb.3,0.324,324
23,Inb.3,0.312,312
24,Inb.3,0.336,336
27,Inb.3,0.384,384
31,Inb.3,0.276,276
32,Inb.3,0.384,384
33,Inb.3,0.036,36
34,Inb.3,0.276,276
35,Inb.3,0.384,384
38,Inb.3,0.264,264
39,Inb.3,0.288,288
40,Inb.3,0.336,336
42,Inb.3,0.336,336
43,Inb.3,0.36,360
44,Inb.3,0.324,324
45,Inb.3,0.312,312
1,Inb.4,0.408,408
2,Inb.4,0.3,300
5,Inb.4,0.372,372
6,Inb.4,0.324,324
7,Inb.4,0.108,108
8,Inb.4,0.384,384
9,Inb.4,0.384,384
11,Inb.4,0.144,144
12,Inb.4,0.252,252
13,Inb.4,0.24,240
14,Inb.4,0.3,300
16,Inb.4,0.432,432
17,Inb.4,0.36,360
18,Inb.4,0.372,372
19,Inb.4,0.324,324
20,Inb.4,0.432,432
21,Inb.4,0.42,420
22,Inb.4,0.276,276
23,Inb.4,0.348,348
24,Inb.4,0.42,420
27,Inb.4,0.468,468
31,Inb.4,0.42,420
32,Inb.4,0.42,420
33,Inb.4,0.336,336
34,Inb.4,0.252,252
35,Inb.4,0.336,336
38,Inb.4,0.336,336
39,Inb.4,0.312,312
40,Inb.4,0.276,276
42,Inb.4,0.36,360
43,Inb.4,0.312,312
44,Inb.4,0.372,372
45,Inb.4,0.42,420
1,Inb.5,0.348,348
2,Inb.5,0.36,360
5,Inb.5,0.372,372
6,Inb.5,0.216,216
7,Inb.5,0.288,288
8,Inb.5,0.336,336
9,Inb.5,0.324,324
11,Inb.5,0.276,276
12,Inb.5,0.24,240
13,Inb.5,0.3,300
14,Inb.5,0.384,384
16,Inb.5,0.144,144
17,Inb.5,0.336,336
18,Inb.5,0.372,372
19,Inb.5,0.264,264
20,Inb.5,0.24,240
21,Inb.5,0.456,456
22,Inb.5,0.348,348
23,Inb.5,0.324,324
24,Inb.5,0.348,348
27,Inb.5,0.396,396
31,Inb.5,0.384,384
32,Inb.5,0.324,324
33,Inb.5,0.228,228
34,Inb.5,0.204,204
35,Inb.5,0.348,348
38,Inb.5,0.192,192
39,Inb.5,0.228,228
40,Inb.5,0.24,240
42,Inb.5,0.324,324
43,Inb.5,0.324,324
44,Inb.5,0.312,312
45,Inb.5,0.312,312
1,Inb.6,0.156,156
2,Inb.6,0.192,192
5,Inb.6,0.288,288
6,Inb.6,0.084,84
7,Inb.6,0.168,168
8,Inb.6,0.108,108
9,Inb.6,0.252,252
11,Inb.6,0.228,228
12,Inb.6,0.252,252
13,Inb.6,0.084,84
14,Inb.6,0.252,252
16,Inb.6,0.132,132
17,Inb.6,0.132,132
18,Inb.6,0.216,216
19,Inb.6,0.132,132
20,Inb.6,0.144,144
21,Inb.6,0.192,192
22,Inb.6,0.168,168
23,Inb.6,0.216,216
24,Inb.6,0.324,324
27,Inb.6,0.156,156
31,Inb.6,0.144,144
32,Inb.6,0.228,228
33,Inb.6,0.144,144
34,Inb.6,0.204,204
35,Inb.6,0.156,156
38,Inb.6,0.156,156
39,Inb.6,0.132,132
40,Inb.6,0.12,120
42,Inb.6,0.168,168
43,Inb.6,0.264,264
44,Inb.6,0.18,180
45,Inb.6,0.228,228