Family.ID,Rep.Fam,Gen,Off.counts
1,A,Inb.1,144
2,A,Inb.1,75
5,A,Inb.1,147
6,A,Inb.1,122
7,A,Inb.1,103
8,A,Inb.1,74
9,A,Inb.1,105
11,A,Inb.1,132
12,A,Inb.1,131
13,A,Inb.1,109
14,A,Inb.1,0
16,A,Inb.1,7
17,A,Inb.1,95
18,A,Inb.1,163
19,A,Inb.1,93
20,A,Inb.1,101
21,A,Inb.1,42
22,A,Inb.1,93
23,A,Inb.1,145
24,A,Inb.1,105
27,A,Inb.1,124
31,A,Inb.1,88
32,A,Inb.1,163
33,A,Inb.1,111
34,A,Inb.1,116
35,A,Inb.1,0
38,A,Inb.1,100
39,A,Inb.1,102
40,A,Inb.1,54
42,A,Inb.1,111
43,A,Inb.1,108
44,A,Inb.1,63
45,A,Inb.1,83
1,B,Inb.1,62
2,B,Inb.1,0
5,B,Inb.1,140
6,B,Inb.1,135
7,B,Inb.1,95
8,B,Inb.1,115
9,B,Inb.1,68
11,B,Inb.1,100
12,B,Inb.1,147
13,B,Inb.1,99
14,B,Inb.1,110
16,B,Inb.1,140
17,B,Inb.1,147
18,B,Inb.1,121
19,B,Inb.1,86
20,B,Inb.1,141
21,B,Inb.1,118
22,B,Inb.1,133
23,B,Inb.1,92
24,B,Inb.1,111
27,B,Inb.1,128
31,B,Inb.1,113
32,B,Inb.1,152
33,B,Inb.1,62
34,B,Inb.1,91
35,B,Inb.1,51
38,B,Inb.1,95
39,B,Inb.1,114
40,B,Inb.1,152
42,B,Inb.1,71
43,B,Inb.1,20
44,B,Inb.1,0
45,B,Inb.1,120
1,A,Inb.2,61
2,A,Inb.2,48
5,A,Inb.2,110
6,A,Inb.2,80
7,A,Inb.2,74
8,A,Inb.2,43
9,A,Inb.2,85
11,A,Inb.2,82
12,A,Inb.2,87
13,A,Inb.2,122
14,A,Inb.2,100
16,A,Inb.2,147
17,A,Inb.2,70
18,A,Inb.2,125
19,A,Inb.2,108
20,A,Inb.2,0
21,A,Inb.2,101
22,A,Inb.2,97
23,A,Inb.2,75
24,A,Inb.2,83
27,A,Inb.2,104
31,A,Inb.2,6
32,A,Inb.2,113
33,A,Inb.2,36
34,A,Inb.2,82
35,A,Inb.2,60
38,A,Inb.2,138
39,A,Inb.2,89
40,A,Inb.2,139
42,A,Inb.2,133
43,A,Inb.2,29
44,A,Inb.2,80
45,A,Inb.2,110
1,B,Inb.2,52
2,B,Inb.2,8
5,B,Inb.2,120
6,B,Inb.2,101
7,B,Inb.2,64
8,B,Inb.2,66
9,B,Inb.2,94
11,B,Inb.2,43
12,B,Inb.2,27
13,B,Inb.2,111
14,B,Inb.2,56
16,B,Inb.2,64
17,B,Inb.2,116
18,B,Inb.2,103
19,B,Inb.2,117
20,B,Inb.2,106
21,B,Inb.2,117
22,B,Inb.2,116
23,B,Inb.2,0
24,B,Inb.2,76
27,B,Inb.2,111
31,B,Inb.2,70
32,B,Inb.2,108
33,B,Inb.2,54
34,B,Inb.2,65
35,B,Inb.2,89
38,B,Inb.2,84
39,B,Inb.2,98
40,B,Inb.2,49
42,B,Inb.2,48
43,B,Inb.2,14
44,B,Inb.2,49
45,B,Inb.2,74
1,A,Inb.3,54
2,A,Inb.3,91
5,A,Inb.3,102
6,A,Inb.3,82
7,A,Inb.3,19
8,A,Inb.3,77
9,A,Inb.3,72
11,A,Inb.3,89
12,A,Inb.3,63
13,A,Inb.3,137
14,A,Inb.3,72
16,A,Inb.3,18
17,A,Inb.3,86
18,A,Inb.3,48
19,A,Inb.3,97
20,A,Inb.3,91
21,A,Inb.3,107
22,A,Inb.3,64
23,A,Inb.3,117
24,A,Inb.3,75
27,A,Inb.3,83
31,A,Inb.3,72
32,A,Inb.3,142
33,A,Inb.3,41
34,A,Inb.3,40
35,A,Inb.3,87
38,A,Inb.3,78
39,A,Inb.3,98
40,A,Inb.3,118
42,A,Inb.3,107
43,A,Inb.3,8
44,A,Inb.3,72
45,A,Inb.3,98
1,B,Inb.3,76
2,B,Inb.3,70
5,B,Inb.3,115
6,B,Inb.3,13
7,B,Inb.3,0
8,B,Inb.3,110
9,B,Inb.3,66
11,B,Inb.3,75
12,B,Inb.3,71
13,B,Inb.3,95
14,B,Inb.3,20
16,B,Inb.3,51
17,B,Inb.3,78
18,B,Inb.3,107
19,B,Inb.3,83
20,B,Inb.3,100
21,B,Inb.3,116
22,B,Inb.3,87
23,B,Inb.3,144
24,B,Inb.3,69
27,B,Inb.3,58
31,B,Inb.3,110
32,B,Inb.3,107
33,B,Inb.3,37
34,B,Inb.3,55
35,B,Inb.3,85
38,B,Inb.3,105
39,B,Inb.3,103
40,B,Inb.3,122
42,B,Inb.3,102
43,B,Inb.3,32
44,B,Inb.3,50
45,B,Inb.3,53
1,A,Inb.4,0
2,A,Inb.4,68
5,A,Inb.4,65
6,A,Inb.4,63
7,A,Inb.4,51
8,A,Inb.4,49
9,A,Inb.4,54
11,A,Inb.4,30
12,A,Inb.4,75
13,A,Inb.4,47
14,A,Inb.4,95
16,A,Inb.4,23
17,A,Inb.4,68
18,A,Inb.4,68
19,A,Inb.4,110
20,A,Inb.4,53
21,A,Inb.4,69
22,A,Inb.4,46
23,A,Inb.4,31
24,A,Inb.4,60
27,A,Inb.4,82
31,A,Inb.4,65
32,A,Inb.4,140
33,A,Inb.4,3
34,A,Inb.4,73
35,A,Inb.4,83
38,A,Inb.4,80
39,A,Inb.4,28
40,A,Inb.4,70
42,A,Inb.4,85
43,A,Inb.4,90
44,A,Inb.4,5
45,A,Inb.4,57
1,B,Inb.4,70
2,B,Inb.4,27
5,B,Inb.4,69
6,B,Inb.4,32
7,B,Inb.4,62
8,B,Inb.4,39
9,B,Inb.4,37
11,B,Inb.4,25
12,B,Inb.4,84
13,B,Inb.4,66
14,B,Inb.4,60
16,B,Inb.4,0
17,B,Inb.4,2
18,B,Inb.4,57
19,B,Inb.4,69
20,B,Inb.4,49
21,B,Inb.4,100
22,B,Inb.4,122
23,B,Inb.4,74
24,B,Inb.4,4
27,B,Inb.4,59
31,B,Inb.4,82
32,B,Inb.4,115
33,B,Inb.4,42
34,B,Inb.4,74
35,B,Inb.4,82
38,B,Inb.4,73
39,B,Inb.4,25
40,B,Inb.4,119
42,B,Inb.4,46
43,B,Inb.4,13
44,B,Inb.4,10
45,B,Inb.4,80
1,A,Inb.5,23
2,A,Inb.5,0
5,A,Inb.5,70
6,A,Inb.5,0
7,A,Inb.5,1
8,A,Inb.5,74
9,A,Inb.5,34
11,A,Inb.5,65
12,A,Inb.5,43
13,A,Inb.5,75
14,A,Inb.5,73
16,A,Inb.5,19
17,A,Inb.5,120
18,A,Inb.5,82
19,A,Inb.5,139
20,A,Inb.5,32
21,A,Inb.5,56
22,A,Inb.5,83
23,A,Inb.5,109
24,A,Inb.5,55
27,A,Inb.5,35
31,A,Inb.5,79
32,A,Inb.5,17
33,A,Inb.5,10
34,A,Inb.5,57
35,A,Inb.5,77
38,A,Inb.5,72
39,A,Inb.5,60
40,A,Inb.5,0
42,A,Inb.5,73
43,A,Inb.5,29
44,A,Inb.5,20
45,A,Inb.5,0
1,B,Inb.5,12
2,B,Inb.5,34
5,B,Inb.5,60
6,B,Inb.5,42
7,B,Inb.5,23
8,B,Inb.5,96
9,B,Inb.5,68
11,B,Inb.5,72
12,B,Inb.5,0
13,B,Inb.5,0
14,B,Inb.5,58
16,B,Inb.5,0
17,B,Inb.5,42
18,B,Inb.5,70
19,B,Inb.5,63
20,B,Inb.5,2
21,B,Inb.5,99
22,B,Inb.5,48
23,B,Inb.5,0
24,B,Inb.5,43
27,B,Inb.5,42
31,B,Inb.5,66
32,B,Inb.5,146
33,B,Inb.5,42
34,B,Inb.5,74
35,B,Inb.5,116
38,B,Inb.5,62
39,B,Inb.5,71
40,B,Inb.5,88
42,B,Inb.5,66
43,B,Inb.5,81
44,B,Inb.5,18
45,B,Inb.5,17
1,A,Inb.6,107
2,A,Inb.6,0
5,A,Inb.6,53
6,A,Inb.6,8
7,A,Inb.6,54
8,A,Inb.6,76
9,A,Inb.6,0
11,A,Inb.6,9
12,A,Inb.6,25
13,A,Inb.6,73
14,A,Inb.6,36
16,A,Inb.6,0
17,A,Inb.6,37
18,A,Inb.6,41
19,A,Inb.6,55
20,A,Inb.6,27
21,A,Inb.6,71
22,A,Inb.6,66
23,A,Inb.6,38
24,A,Inb.6,73
27,A,Inb.6,24
31,A,Inb.6,64
32,A,Inb.6,32
33,A,Inb.6,42
34,A,Inb.6,64
35,A,Inb.6,54
38,A,Inb.6,30
39,A,Inb.6,68
40,A,Inb.6,93
42,A,Inb.6,0
43,A,Inb.6,67
44,A,Inb.6,8
45,A,Inb.6,23
1,B,Inb.6,0
2,B,Inb.6,70
5,B,Inb.6,62
6,B,Inb.6,74
7,B,Inb.6,18
8,B,Inb.6,13
9,B,Inb.6,43
11,B,Inb.6,7
12,B,Inb.6,61
13,B,Inb.6,31
14,B,Inb.6,7
16,B,Inb.6,16
17,B,Inb.6,32
18,B,Inb.6,33
19,B,Inb.6,53
20,B,Inb.6,19
21,B,Inb.6,43
22,B,Inb.6,65
23,B,Inb.6,0
24,B,Inb.6,13
27,B,Inb.6,0
31,B,Inb.6,94
32,B,Inb.6,75
33,B,Inb.6,29
34,B,Inb.6,0
35,B,Inb.6,16
38,B,Inb.6,47
39,B,Inb.6,100
40,B,Inb.6,104
42,B,Inb.6,78
43,B,Inb.6,31
44,B,Inb.6,27
45,B,Inb.6,0